,Year,Month,Day,Time,Lat,Lon,Depth,Mag,Timestamp
0,2015,2,24,4:02:21,33.3949,75.0972,35.0,3.5,1424750541
1,2014,8,27,3:20:17,34.7169,75.1838,0.0,3.9,1409109617
2,2013,9,5,18:11:29,33.2323,75.3594,22.0,4.5,1378404689
3,2012,8,2,18:00:27,33.6959,75.2808,22.0,4.1,1343930427
4,2011,9,24,15:21:34,34.0753,75.1808,40.0,4.2,1316877694
5,2011,4,17,9:27:03,35.1216,75.0943,35.0,3.4,1303032423
6,2011,5,13,18:53:39,33.421,75.023,10.0,3.3,1305312819
7,2011,3,10,4:35:28,35.0636,75.2031,0.0,3.7,1299731728
8,2010,3,23,9:59:57,33.7698,75.3496,45.0,4.2,1269338397
9,2010,9,11,3:10:41,33.7019,75.2344,35.0,4.7,1284174641
10,2010,9,21,8:36:10,33.7523,75.224,35.0,3.8,1285058170
11,2010,9,12,0:56:40,33.6738,75.2142,35.0,3.7,1284253000
12,2010,5,18,16:50:18,33.361,75.356,10.0,3.2,1274201418
13,2009,10,4,10:29:58,33.662,75.252,38.7,3.0,1254652198
14,2008,2,29,18:40:53,33.8198,75.0263,51.3,3.8,1204310453
15,2008,1,4,9:07:39,33.0646,75.3737,27.1,2.8,1199437659
16,2008,1,18,10:16:20,33.1194,75.2921,10.4,2.5,1200651380
17,2008,3,16,5:44:34,33.9341,75.0426,10.0,3.5,1205646274
18,2008,5,8,22:43:58,33.555,75.219,10.0,2.9,1210286638
19,2008,7,23,17:17:30,33.492,75.024,10.0,2.8,1216833450
20,2008,12,2,20:03:56,33.445,75.065,10.0,2.7,1228248236
21,2008,1,24,9:25:05,33.257,75.021,10.0,2.6,1201166705
22,2008,1,1,12:58:34,33.3356,75.3396,10.0,2.6,1199192314
23,2008,6,1,8:40:12,33.187,75.23,10.0,2.4,1212309612
24,2008,6,16,0:15:45,33.489,75.356,5.0,3.1,1213575345
25,2007,3,23,4:51:16,33.403,75.259,10.0,2.5,1174625476
26,2006,3,3,9:18:37,33.357,75.025,68.6,2.9,1141377517
27,2006,10,31,1:26:52,34.387,75.351,33.0,3.1,1162258012
28,2006,2,25,14:11:16,33.995,75.143,30.0,3.1,1140876676
29,2006,3,8,10:42:24,33.18,75.217,15.1,3.4,1141814544
30,2006,9,23,7:15:50,34.286,75.103,15.0,3.0,1158995750
31,2006,7,13,19:31:53,33.171,75.275,10.0,4.2,1152819113
32,2006,1,14,16:17:32,33.476,75.063,10.0,3.6,1137255452
33,2006,3,30,11:58:52,33.618,75.256,10.0,3.3,1143719932
34,2005,11,12,18:10:17,33.5871,75.2886,45.1,3.0,1131819017
35,2005,12,28,0:01:49,34.7922,75.2408,33.0,3.9,1135728109
36,2005,10,31,10:20:51,33.5156,75.2841,33.0,3.6,1130754051
37,2005,3,28,19:59:16,33.438,75.075,20.0,4.9,1112039956
38,2005,11,8,10:25:42,33.1527,75.1253,17.3,3.3,1131445542
39,2005,6,19,17:33:29,34.6152,75.3244,10.0,3.2,1119202409
40,2005,11,8,9:19:40,33.009,75.01,10.0,3.1,1131441580
41,2005,12,15,10:11:47,33.044,75.167,10.0,2.7,1134641507
42,2005,6,12,17:02:08,35.1224,75.2512,0.0,3.6,1118595728
43,2005,10,12,6:22:54,35.1213,75.3289,0.0,3.3,1129098174
44,2004,2,4,18:46:59,33.984,75.235,44.3,4.1,1075920419
45,2004,11,28,21:17:52,33.2461,75.0632,15.0,3.9,1101676672
46,2003,11,29,9:25:23,33.348,75.259,10.0,2.4,1070097923
47,2002,12,21,14:24:45,33.414,75.15,33.0,3.0,1040480685
48,2002,6,15,13:38:29,33.815,75.245,33.0,2.9,1024148309
49,2002,8,1,7:45:36,33.226,75.174,20.0,2.7,1028187936
50,2002,2,10,13:30:19,33.081,75.216,10.0,2.4,1013347819
51,2002,1,7,13:04:09,33.97,75.083,4.3,4.1,1010408649
52,2001,9,28,5:06:11,33.642,75.363,33.0,2.8,1001653571
53,2001,8,2,14:58:00,33.989,75.313,28.1,2.5,996764280
54,2000,5,17,1:11:07,33.628,75.168,104.0,3.9,958525867
55,2000,4,26,12:15:21,34.039,75.22,43.0,3.5,956751321
56,2000,9,6,2:53:03,34.34,75.092,33.0,3.7,968208783
57,2000,12,5,23:39:13,33.585,75.238,33.0,3.6,976059553
58,2000,9,5,14:04:28,33.973,75.036,33.0,2.9,968162668
59,2000,8,28,0:32:11,33.444,75.243,6.5,2.7,967422731
60,2000,4,8,12:47:00,33.701,75.08,5.5,2.9,955198020
61,1999,2,24,9:59:18,33.985,75.332,33.0,2.9,919850358
62,1999,3,1,1:00:06,33.547,75.162,9.6,3.9,920250006
63,1999,4,22,7:19:30,33.175,75.261,6.0,3.3,924765570
64,1997,12,23,4:15:04,33.8045,75.2336,33.0,4.2,882850504
65,1997,1,19,13:59:24,33.6811,75.0662,33.0,3.1,853682364
66,1981,7,4,3:49:25,34.3555,75.2542,209.4,3.7,363066565
67,1978,5,16,6:31:57,33.1817,75.3309,96.0,4.1,264148317
